lea_id,lea_name,identified_student_percentage_isp,eligible_to_participate,near_eligible_to_participate,currently_participating_in_cep,participating_and_eligible_for_a_grace_year,total_number_of_schools_in_participating_eligible_and_near_eligible_le_as,total_student_enrollment_in_participating_and_eligible_le_as,total_number_of_cep_schools_in_the_lea,total_student_enrollment_at_cep_schools,currently_participating_in_cep_district_wide,currently_participating_in_cep_in_one_or_some_schools_not_district_wide,year,participation_type
92M,PreEminent Charter,50.8,X,NA,NA,NA,1,620,NA,NA,NA,NA,2019,Not Participating
92Q,Hope Charter Leadership Academy,50,X,NA,X,NA,1,104,1,104,A,NA,2019,District Wide
92V,Wake Forest Charter Academy,3.21,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
92W,Cardinal Charter Academy,6.54,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
93A,Haliwa-Saponi Tribal School,68.51,X,NA,X,NA,1,162,1,162,A,NA,2019,District Wide
93J,PAVE Southeast Raleigh Charter School,47.77,X,NA,X,NA,1,360,1,360,A,NA,2019,District Wide
93M,Peak Charter Academy,2.91,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
93P,Rolesville Charter Academy,9.2,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
96C,Dillard Academy,89.23,X,NA,X,NA,1,288,1,288,A,NA,2019,District Wide
97D,Bridges Academy,48.14,X,NA,X,NA,1,135,1,135,A,NA,2019,District Wide
98A,Sallie B Howard School,61.2,X,NA,X,NA,1,982,1,982,A,NA,2019,District Wide
010,Alamance-Burlington Schools,35.75,NA,X,X,NA,35,23239,11,5811,NA,S,2020,Some Schools
020,Alexander County Schools,27.59,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
030,Alleghany County Schools,39.73,NA,X,NA,NA,4,1578,NA,NA,NA,NA,2020,Not Participating
040,Anson County Schools,54.06,X,NA,X,NA,10,3104,10,3104,A,NA,2020,District Wide
050,Ashe County Schools,34.56,NA,X,NA,NA,6,2963,NA,NA,NA,NA,2020,Not Participating
060,Avery County Schools,27.07,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
070,Beaufort County Schools,40.14,X,NA,X,NA,14,6475,13,6216,NA,S,2020,Some Schools
080,Bertie County Schools,65.34,X,NA,X,NA,7,2109,7,2109,A,NA,2020,District Wide
090,Bladen County Schools,50.4,X,NA,X,NA,13,4248,13,4248,A,NA,2020,District Wide
100,Brunswick County Schools,37.51,NA,X,X,NA,19,12542,19,12542,A,NA,2020,District Wide
110,Buncombe County Schools,28.01,NA,NA,X,NA,43,23309,5,1592,NA,S,2020,Some Schools
111,Asheville City Schools,29.22,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
120,Burke County Schools,57.68,X,NA,NA,NA,26,12754,NA,NA,NA,NA,2020,Not Participating
130,Cabarrus County Schools,21.24,NA,NA,X,NA,40,34397,7,3690,NA,S,2020,Some Schools
132,Kannapolis City Schools,45.24,X,NA,X,NA,9,5643,9,5643,A,NA,2020,District Wide
140,Caldwell County Schools,33.96,NA,X,X,NA,26,11402,4,425,NA,S,2020,Some Schools
150,Camden County Schools,13.63,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
160,Carteret County Public Schools,24.22,NA,NA,X,NA,19,8100,15,5701,NA,S,2020,Some Schools
170,Caswell County Schools,46.91,X,NA,X,NA,6,2362,4,1131,NA,S,2020,Some Schools
180,Catawba County Schools,26.72,NA,NA,X,NA,28,15874,1,715,NA,S,2020,Some Schools
181,Hickory City Schools,38.84,NA,X,X,NA,9,4163,2,706,NA,S,2020,Some Schools
182,Newton Conover City Schools,32.35,NA,X,NA,NA,7,3020,NA,NA,NA,NA,2020,Not Participating
190,Chatham County Schools,24.32,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
200,Cherokee County Schools,34.75,NA,X,X,NA,13,3217,7,1671,NA,S,2020,Some Schools
210,Edenton/Chowan Schools,45.92,X,NA,NA,NA,4,1999,NA,NA,NA,NA,2020,Not Participating
220,Clay County Schools,34.25,NA,X,NA,NA,3,1343,NA,NA,NA,NA,2020,Not Participating
230,Cleveland County Schools,49.14,X,NA,X,NA,29,14484,17,5980,NA,S,2020,Some Schools
240,Columbus County Schools,46.56,X,NA,X,NA,17,5676,17,5676,A,NA,2020,District Wide
241,Whiteville City Schools,49.93,X,NA,X,NA,4,2243,4,2243,A,NA,2020,District Wide
250,Craven County Schools,32.13,NA,X,X,NA,25,13420,11,5723,NA,S,2020,Some Schools
260,Cumberland County Schools,42.68,X,NA,X,NA,86,50692,65,31375,NA,S,2020,Some Schools
270,Currituck County Schools,16.88,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
280,Dare County Schools,21.28,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
290,Davidson County Schools,25.93,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
291,Lexington City Schools,56.81,X,NA,X,NA,7,3126,7,3126,A,NA,2020,District Wide
292,Thomasville City Schools,65.22,X,NA,X,NA,4,2312,4,2312,A,NA,2020,District Wide
298,Residential Schools,33.15,NA,X,X,NA,3,184,3,184,A,NA,2020,District Wide
300,Davie County Schools,26.65,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
310,Duplin County Schools,34.38,NA,X,X,NA,13,10174,13,10174,A,NA,2020,District Wide
320,Durham Public Schools,34.67,NA,X,X,NA,53,33533,19,10350,NA,S,2020,Some Schools
330,Edgecombe County Schools,49.35,X,NA,X,NA,14,6113,13,5883,NA,S,2020,Some Schools
340,Forsyth County Schools,34.93,NA,X,X,NA,78,55607,39,22169,NA,S,2020,Some Schools
350,Franklin County Schools,32.88,NA,X,NA,NA,16,8203,NA,NA,NA,NA,2020,Not Participating
360,Gaston County Schools,36.62,NA,X,X,X,54,31154,19,9965,NA,S,2020,Some Schools
370,Gates County Schools,35.25,NA,X,NA,NA,5,1603,NA,NA,NA,NA,2020,Not Participating
380,Graham County Schools,5.85,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
390,Granville County Schools,27.73,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
400,Greene County Schools,50.37,X,NA,X,NA,6,3004,6,3004,A,NA,2020,District Wide
410,Guilford County Schools,39.1,NA,X,X,NA,124,72947,66,32452,NA,S,2020,Some Schools
420,Halifax County Schools,56.42,X,NA,X,NA,10,2329,10,2329,A,NA,2020,District Wide
421,Roanoke Rapids City Schools,60.25,X,NA,NA,NA,5,2853,NA,NA,NA,NA,2020,Not Participating
422,Weldon City Schools,76.44,X,NA,X,NA,4,798,4,798,A,NA,2020,District Wide
430,Harnett County Schools,33.68,NA,X,X,NA,29,20290,7,3056,NA,S,2020,Some Schools
440,Haywood County Schools,33.12,NA,X,X,NA,15,7087,4,1523,NA,S,2020,Some Schools
450,Henderson County Schools,21.49,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
460,Hertford County Schools,99.6,X,NA,X,NA,7,2761,7,2761,A,NA,2020,District Wide
470,Hoke County Schools,37.43,NA,X,X,NA,14,9418,14,9418,A,NA,2020,District Wide
480,Hyde County Schools,51.52,X,NA,X,NA,2,396,2,396,A,NA,2020,District Wide
490,Iredell-Statesville Schools,18.61,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
491,Mooresville Graded School District,16.9,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
500,Jackson County Schools,31.93,NA,X,X,NA,10,3683,1,87,NA,S,2020,Some Schools
510,Johnston County Schools,22.61,NA,NA,X,NA,45,37534,5,2890,NA,S,2020,Some Schools
520,Jones County Schools,63.86,X,NA,X,NA,5,1079,5,1079,A,NA,2020,District Wide
530,Lee County Schools,35.06,NA,X,NA,NA,17,10153,NA,NA,NA,NA,2020,Not Participating
540,Lenoir County Public Schools,51.21,X,NA,X,NA,17,8631,17,8631,A,NA,2020,District Wide
550,Lincoln County Schools,26.94,NA,NA,X,NA,22,11574,1,396,NA,S,2020,Some Schools
560,Macon County Schools,28.84,NA,NA,X,NA,11,4507,2,482,NA,S,2020,Some Schools
570,Madison County Schools,32.47,NA,X,X,NA,6,2208,1,134,NA,S,2020,Some Schools
580,Martin County Schools,48.69,X,NA,X,NA,9,3101,8,2850,NA,S,2020,Some Schools
590,McDowell County Schools,40.93,X,NA,NA,NA,14,6540,NA,NA,NA,NA,2020,Not Participating
600,Charlotte-Mecklenburg Schools,28.93,NA,NA,X,NA,175,150098,68,49148,NA,S,2020,Some Schools
610,Mitchell County Schools,32.15,NA,X,NA,NA,7,1826,NA,NA,NA,NA,2020,Not Participating
620,Montgomery County Schools,36.6,NA,X,NA,NA,12,3839,NA,NA,NA,NA,2020,Not Participating
630,Moore County Schools,26.7,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
